Developer,Project Name,Electricity Purchaser,City/County,State,Technology Type,Net Metered,Status,Land Type,Online Date,Capacity (MW),Longitude,Latitude,Locational Accuracy,ZIP,Link 1,Link 2,Link 3,Link 4,Link 5
Advanced Solar Products,Linden Solar Farm,PSE&G,Linden,NJ,PV,,Operating,Private,2010-12-31Z,4,-74.25339,40.633953,5,"07,036",http://www.pseg.com/info/media/newsreleases/2010/2010-12-01.jsp,http://www.pseg.com/family/pseandg/solar4all/attachments/Jul%2031%2012%20Solar%204%20All%20Chart.pdf,,,
AllEarth Renewables,South Burlington Solar Farm,Vermont National Guard,South Burlington,VT,PV,X,Operating,Private,2011-07-27Z,2,-73.145315,44.435868,1,"05,403",http://www.pv-tech.org/news/_a/project_focus_allearth_renewables_chittenden_to_develop_2.2mw_tracker-based/?utm_source=Feeds&utm_campaign=News+Feed&utm_medium=rss,http://www.allearthrenewables.com/news-and-resources/events-and-seminars/south-burlington-solar-farm-grand-opening/,,,
American Capital Energy,Yardville Solar Farm,PSE&G,Hamilton,NJ,PV,,Operating,Private,2011-02-01Z,5,-74.65781,40.168595,1,"08,620",http://www.americancapitalenergy.com/nv-energy/,http://www.americancapitalenergy.com/yardville-solar-farm/,,,
American Capital Energy,William Stanley Business Park,Western Massachusetts Electric Co.,Pittsfield,MA,PV,,Operating,Private,2010-10-26Z,2,-73.241116,42.452557,1,"01,201",http://www.williamstanleybp.com/index.html,http://www.iberkshires.com/story/34015/Pittsfield-to-Host-Biggest-Solar-Facility-in-New-England.htm,http://www.businesswire.com/news/home/20101026006896/en/WMECo-Completes-1.8-MW-Solar-Facility-Pittsfieldl,,
Arizona Public Service,Prescott Solar Power Plant,Arizona Public Service,Prescott,AZ,PV,,Operating,Private,2006-12-01Z,3.5,-112.406,34.6778,1,"86,323",http://www.pinnaclewest.com/files/annual/2006/MK-_APS_Renew__Gen_and_Proc.pdf,,,,
BP Solar,"Colorado State University, Pueblo Solar Farm","Colorado State University, Pueblo",Pueblo,CO,PV,X,Operating,,2009-01-12Z,1,-104.574,38.3125,1,"81,001",http://www.colostate-pueblo.edu/Communications/Media/PressReleases/2008/Pages/20080708.aspx,http://www.colostate-pueblo.edu/Communications/Media/PressReleases/2009/Pages/20090103.aspx,,,
BP Solar,USMC 29 Palms,United States Marine Corps,Twentynine Palms,CA,PV,X,Operating,,2003-08-01Z,1,-116.05281,34.238737,1,"92,277",http://www.bp.com/liveassets/bp_internet/solar/bp_solar_usa/STAGING/local_assets/downloads_pdfs/29PalmsTag.pdf,,,,
BP Solar,Long Island Solar Farm,Long Island Power Authority,Brookhaven,NY,PV,,Operating,Public,2011-11-18Z,38,-72.8785,40.8705,1,"11,961",http://www.ny.gov/governor/press/press_0227092_print.html,http://www.lipower.org/newscenter/pr/2011/111811-solar.html,,,
Cleantech America Inc.,CalRENEW-1,Pacific Gas & Electric,Mendota,CA,Thin-film,,Operating,Private,2010-06-03Z,5,-120.365853,36.759613,1,"93,640",http://www.cleantechamerica.com/media/CalRENEW-1PressRelease.pdf,http://www.getsolar.com/blog/officials-dedicate-calrenew-a-california-solar-power-plant/7171/,http://www.meridianenergyusa.com/media/CalRENEW-1FactSheet.pdf,http://www.pv-tech.org/news/_a/calrenew_-1_celebrates_with_dedication_ceremony/,
Con Edison/Panda Energy,,Atlantic City Electric,Pilesgrove Township,NJ,PV,,Operating,Private,2011-12-01Z,20,-75.309809,39.61426,1,"08,098",http://www.pv-tech.org/news/_a/project_focus_con_edison_and_panda_power_begin_construction_for_20mw_solar_/?utm_source=Feeds&utm_campaign=News+Feed&utm_medium=rss,http://pandafunds.com/Investments/PilesgroveSolarProject/tabid/93/Default.aspx,http://www.nj.com/salem/index.ssf/2011/04/construction_under_way_on_larg.html,,
SunPower/Conectiv Energy,Vineland Solar One,Vineland Municipal Electric Utility,Vineland,NJ,PV,,Operating,Private,2009-12-24Z,4,-75.067798,39.464636,1,"08,360",http://www.vinelandsolarone.com/,http://vinelandsolarone.com/documents/Vineland-Solar-One-Dedication-12.24.9.pdf,,,
Conergy,Exelon-Conergy Solar Energy Center,Exelon Generation LLC,Fairless Hills,PA,PV,,Operating,Private,2008-12-04Z,3,-74.768,40.1391,1,"19,067",http://www.renewableenergyworld.com/rea/partner/conergy-inc/news/article/2008/12/exelon-and-conergy-complete-largest-solar-energy-system-on-east-coast-54233,,,,
Cupertino Electric,Westside Solar Station,Pacific Gas & Electric,Fresno,CA,PV,,Operating,Private,2011-09-29Z,20,-120.124964,36.37883,1,"93,624",http://www.pge.com/about/newsroom/newsreleases/20110929/pgampe_completes_three_solar_projects_to_deliver_more_clean_energy_to_customers.shtml,http://www.facebook.com/pages/Westside-Solar-Energy-Station/253774784658892,,,
Cupertino Electric,Stroud Solar Station,Pacific Gas & Electric,Fresno,CA,PV,,Operating,Private,2011-09-29Z,25,-120.12312,36.525228,1,"93,627",http://www.pge.com/about/newsroom/newsreleases/20110929/pgampe_completes_three_solar_projects_to_deliver_more_clean_energy_to_customers.shtml,http://www.pgecurrents.com/2011/10/28/pge-recognizes-its-top-suppliers/stroud-solar-station/,,,
Cupertino Electric,Porterville Solar Plant,Southern California Edison,San Joaquen Valley,CA,PV,,Operating,Private,2011-01-19Z,7,-119.076464,36.029135,1,"93,257",http://www.solarindustrymag.com/e107_plugins/content/content.php?content.6491,http://www.kmph.com/Global/story.asp?S=13874205,,,
Efficient Energy of Tennessee,,Tennessee Valley Authority,Jackson,TN,PV,,Operating,Private,2012-04-16Z,1,-88.781255,35.627014,1,"38,301",http://www.sharpusa.com/AboutSharp/NewsAndEvents/PressReleases/2012/April/04_16_Sharp_Installation_Agriculture.aspx,,,,
Efficient Energy of Tennessee,,Tennessee Valley Authority,Knox County,TN,PV,,Operating,Private,2010-08-12Z,1,-83.71415,36.045109,1,"37,871",http://eetenn.com/Articles/eetn_and_sharp_complete_successful_installation_of_tva_regions_largest_solar_power_plant_dedication_ceremony_draws_business_leaders_and_top_government_officials.aspx,http://www.pr.com/press-release/255146,"https://maps.google.com/maps?q=813+Andrew+Johnson+Highway+Knoxville,+TN+37871&ie=UTF-8&hq=&hnear=0x885c0c51f9f7e859:0x9993f2bee34f805,813+Andrew+Johnson+Hwy,+Strawberry+Plains,+TN+37871&gl=us&ei=UEJfUIiUDIe49QS4jYD4Ag&ved=0CCEQ8gEwAA",,
Energy Solutions LLC,Kent  County Public Works Solar Array,Kent County Wastewater Facility,Kent,DE,PV,X,Operating,Private,2011-03-01Z,1,-75.438516,38.993393,1,"19,963",http://www.co.kent.de.us/Departments/PublicWorks/WastewaterFacilities.htm,http://www.co.kent.de.us/documents/37986KENTCSum11a.pdf,,,
enXco,Sacramento Soleil 2008,Sacramento Municipal Utility District,Sacramento,CA,PV,,Operating,Private,2008-07-01Z,1,-121.164,38.4501,1,"95,693",http://www.edf-re.com/projects/detail/sacramento_soleil/,,,,
enXco,Yamhill Solar,Portland General Electric,Yamhill,OR,PV,,Operating,Private,2011-10-01Z,1,-123.2368,45.11363,1,"97,128",http://guntherportfolio.com/2011/12/enxcos-nanosolar-photovoltaic-projects-in-oregon/,http://www.rnp.org/node/yamhill-solar-project,,,
enXco,Bellevue Solar,Portland General Electric,Yamhill,OR,PV,,Operating,Private,2011-10-01Z,2,-123.278298,45.108363,1,"97,128",http://www.edf-re.com/projects/detail/bellevue_solar_project/,,,,
enXco,Pocono Raceway Solar Facility,,Lond Pond,PA,,X,Operating,Private,2010-07-30Z,3,-75.516243,41.060563,1,"18,334",http://enxcosolar.com/press/enxco_dedicates_3_mw_solar_project_at_pocono_raceway/,http://www.edf-re.com/projects/detail/pocono_raceway/,,,
ESA Renewables,,Tennessee Valley Authority,Blairsville,GA,PV,,Operating,Private,2011-01-24Z,1,-84.031389,34.842484,1,"30,512",,,,,
Eurus,Sun City Project,Pacific Gas & Electric,Avenal,CA,PV,,Operating,Private,2012-08-11Z,23,-120.109903,35.97956,1,"93,204",http://eurusenergy.com/solar/solar-power-projects/,,,,
Eurus,Sand Drag Solar Project,Pacific Gas & Electric,Avenal,CA,PV,,Operating,Private,2012-08-11Z,22,-120.104079,35.984668,1,"93,204",http://eurusenergy.com/solar/solar-power-projects/,,,,
Eurus,Avenal Park Solar Project,Pacific Gas & Electric,Avenal,CA,PV,,Operating,Private,2012-08-11Z,6,-120.109445,35.99192,1,"93,204",http://eurusenergy.com/solar/solar-power-projects/,,,,
First Solar,Hondale Solar Farm,PNM,Deming,NM,PV,,Operating,Priavte,2011-08-17Z,6,-107.75108,32.1669,1,"88,030",http://www.pnm.com/news/2011/0817_deming_solar_cntr.htm,,,,
First Solar,Alamogordo Solar Energy Center,PNM,Alamogordo,NM,Thin-film,,Operating,Private,2011-10-20Z,6,-106.000299,32.865855,1,"88,310",http://finance.yahoo.com/news/PNM-unveils-new-solar-farm-in-apf-3127203837.html,http://www.pnm.com/news/2011/1019_alamogordo_solar_dedication.htm,,,
First Solar,FSE Blythe,Southern California Edison,Blythe,CA,Thin-film,,Operating,Private,2009-12-01Z,21,-114.744,33.5914,1,"92,225",http://www.firstsolar.com/en/ProjectsNew/Blythe-Solar-Project/~/media/Files/Completed/Blythe%20Solar%20Project/DatasheetBlythe01431dsashx.ashx,,,,
First Solar,Cimarron I Solar Project,Tri-State Generation and Transmission,Cimarron,NM,Thin-film,,Operating,Private,2010-11-01Z,30,-104.637,36.4673,1,"87,747",http://investor.firstsolar.com/phoenix.zhtml?c=201491&p=irol-newsArticle&ID=1376802,http://www.firstsolar.com/Projects/Completed-Projects/Cimarron-Solar-Facility/~/media/Files/Downloads/PDF/Projects/Datasheet_Cimarron_01191.ashx,,,
First Solar,Paloma Solar Plant,Arizona Public Service,Gila Bend,AZ,Thin-film,,Operating,Private,2011-10-01Z,17,-112.7946,32.971684,5,"85,337",http://www.solarserver.com/solar-magazine/solar-news/current/2011/kw07/first-solar-to-build-a-17mw-pv-plant-for-aps.html,,,,
GDF Suez,Northfield Mountain Solar Farm,,Northfield,MA,Thin-film,,Operating,Private,2012-03-01Z,2,-72.475437,42.609881,1,"01,360",http://www.firstlightpower.com/northfield/newsletters/news.pdf,,,,
Global Solar Energy,Springerville Generating Station Solar System,Tucson Electric Power,Springerville,AZ,Thin-film,,Operating,Private,2003-12-01Z,5,-109.265326,34.296531,1,"85,938",,,,,
SunPower/Iberdrola,San Luis Valley Solar Ranch,Xcel Energy,Alamosa County,CO,PV,,Operating,Private,2011-12-01Z,38,-105.920308,37.694144,1,"81,146",http://www.solardaily.com/reports/30MW_Solar_Power_Plant_To_Be_Built_In_Colorado_999.html,http://en.wikipedia.org/wiki/San_Luis_Valley_Solar_Ranch,,,
J. Fletcher Creamer & Son,Silver Lake Solar Farm,PSE&G,Edison,NJ,PV,,Operating,Private,2010-11-01Z,2,-74.400396,40.493358,1,"08,817",http://www.pseg.com/family/pseandg/solar4all/attachments/Jul%2031%2012%20Solar%204%20All%20Chart.pdf,,,,
juwi Solar Inc.,Mars Solar Garden,Mars Inc.,Hackettstown,NJ,Thin-film,X,Operating,Private,2009-10-01Z,2,-74.822832,40.861168,1,"07,840",http://www.juwisolar.com/mars-solar/,,,,
juwi solar Inc.,Jacksonville Solar,Jacksonville Electric Authority,Jacksonville,FL,PV,,Operating,Private,2010-09-28Z,15,-81.958772,30.320206,1,"32,234",http://solar.coolerplanet.com/News/19820390-10-megawatt-solar-project-announced-for-florida.aspx,http://www.juwisolar.com/jacksonville-solar/,,,
juwi solar Inc.,Wyandot Solar Facility,American Electric Power Co. Inc.,Salem Township,OH,Thin-film,,Operating,Private,2010-05-01Z,12,-83.317949,40.878852,1,"43,351",http://www.reuters.com/article/GCA-GreenBusiness/idUSTRE55E4YI20090615,http://www.juwisolar.com/wyandot-solar/,,,
juwi solar Inc.,Blue Wing Solar Project,CPS Energy,San Antonio,TX,PV,,Operating,Private,2010-11-04Z,16,-98.403,29.3062,1,"78,223",http://www.pv-tech.org/news/_a/project_focus_san_antonios_first_solar_farm_reaches_completion_claimed_as_l/?utm_source=Feeds&utm_campaign=News+Feed&utm_medium=rss,http://www.juwisolar.com/blue-wing-solar/,,,
Kyocera Solar,Camp Pendleton Solar Facility,US Marine Corps Base Camp Pendleton,San Diego,CA,PV,X,Operating,,2012-03-11Z,1,-117.380784,33.234802,1,"92,058",http://www.kyocerasolar.com/about-kyocera/kyocera-solar/news/?id=103,http://www.earthtechling.com/2011/03/camp-pendleton-marines-get-solar-power/,http://www.ch2m.com/corporate/markets/environmental/assets/sustainable-solar-pv.pdf,,
Lincoln Renewable Energy,NJ Oak Solar Farm,Atlantic City Electric,Fairfield Township,NJ,PV,,Operating,Private,2012-05-10Z,10,-75.188137,39.380371,1,"08,302",http://www.lincolnrenewableenergy.com/news/lre-passes-important-milestone-for-utility-scale-solar-farm-in-new-jersey,http://www.nj.com/cumberland/index.ssf/2012/05/50_million_solar_facility_open.html,http://www.lincolnrenewableenergy.com/pages/nj-oak-solar-farm,,
SunPower/LS Power,Dover SUN Park,Delmarva Power,Dover,DE,PV,,Operating,Public,2011-08-17Z,10,-75.506211,39.187202,1,"19,901",http://www.buffalo.edu/ubreporter/archives/vol38/vol38n10/articles/SolarPower.html,"http://www.dnrec.delaware.gov/News/Pages/Governor-Markell,-City-of-Dover,-LS-Power-dedicate-10-megawatt-Dover-SUN-Park.aspx",,,
Main Street Power,Arizona Western College,Arizona Public Service,Yuma,AZ,,,Operating,,2011-12-01Z,5,-114.490439,32.690419,1,"85,365",http://www.pv-tech.org/news/main_street_power_breaks_ground_on_awc_campus_project_to_use_five_different,http://mainstreetpower.com/client-portfolio,,,
SunPower/MMA Renewable Ventures,Nellis Air Force Base,Nellis Air Force Base,Clark County,NV,PV,X,Operating,Public,2007-12-18Z,14,-115.054,36.2594,1,"89,191",http://news.cnet.com/8301-11128_3-9829328-54.html,http://www.nellis.af.mil/news/story.asp?id=123079933,,,
NJR Clean Energy Ventures,Manalapan Solar Farm,Village of Manalapan,Manalapan,NJ,PV,,Operating,Private,2012-02-13Z,4,-74.345837,40.257341,1,"08,535",http://www.njresources.com/news/releases/2012/njrcev/12-8NJRCEVCompleted2011Projects.asp,http://www.mercurysolarsystems.com/content/newsroom/releases/021312.asp,http://spanopartners.com/proj-manalapan-village.html,http://exa.gmnews.com/news/2005-03-09/Front_Page/032.html,
NJR Clean Energy Ventures,McGraw-Hill Solar Farm,McGraw-Hill,East Windsor,NJ,PV,X,Operating,Private,2012-01-11Z,14.1,-74.548074,40.279309,1,"08,691",http://www.pv-tech.org/news/njr_to_build_14.1mw_solar_system_at_mcgraw_hills_new_jersey_campus?utm_source=pvtech-feeds&utm_medium=rss&utm_campaign=news-rss-feed,http://www.nj.com/mercer/index.ssf/2012/01/solar_energy_project_at_mcgraw.html,,,
First Solar/NRG Energy,Roadrunner Solar Electric Facility,El Paso Electric,Santa Theresa,NM,Thin-film,,Operating,Private,2012-09-11Z,25,-106.67148,31.80245,1,"88,063",http://www.pv-tech.org/news/_a/project_focus_nrg_to_open_20mw_new_mexico_plant/?utm_source=PV-Tech&utm_campaign=b50b5122a1-PV_Tech_Newsletter_13_12_2010,http://www.pv-tech.org/news/nrg_solars_20mw_roadrunner_solar_facility_begins_energy_production,http://www.businesswire.com/news/home/20110831006612/en/NRG-Solar-Begins-Operations-Mexico%E2%80%99s-Roadrunner-Facility,http://www.mveda.com/blog/tag/roadrunner-solar-plant/,http://www.nrgenergy.com/pdf/factsheets/factsheet_roadrunner.pdf
Oak Leaf Partners,DIA 3,Denver International Airport,Denver,CO,PV,X,Operating,Private,2011-07-28Z,4.4,-104.674,39.8477,1,"80,249",http://www.constellation.com/Documents/DIA_Solar_Release.pdf,http://www.oakleafep.com/project_detail.php?proj_id=10,,,
Oak Leaf Partners,DIA 1,Denver International Airport,Denver,CO,PV,X,Operating,Private,2008-08-01Z,2,-104.674,39.8477,1,"80,249",http://www.oakleafep.com/project_detail.php?proj_id=5,http://en.wikipedia.org/wiki/Denver_International_Airport#Solar_energy_system,,,
Oak Leaf Partners,DIA 2,Denver International Airport,Denver,CO,PV,X,Operating,Private,2010-03-05Z,1.6,-104.674,39.8477,1,"80,249",http://www.oakleafep.com/project_detail.php?proj_id=6,http://www.renewableenergyworld.com/rea/news/article/2010/03/1-6-mw-solar-system-completed-at-denver-airport,,,
PowerPlay Solar,Berkshire School Solar Farm,Berkshire School,Sheffield,MA,PV,X,Operating,Private,2011-12-01Z,2,-73.404749,42.114333,1,"01,257",http://www.berkshireschool.org/page.cfm?p=1158,,,,
